[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a7 0x000000a7 6   7            ascii   uRichY
3    0x000001b0 0x000001b0 5   6            ascii   .text
4    0x00001010 0x00401010 4   5    .text   ascii   E\fPV
5    0x0000101e 0x0040101e 6   8    .text   utf8    ^]ËE\b] blocks=Basic Latin,Latin-1 Supplement
6    0x0000105a 0x0040105a 5   7    .text   utf8    \a\vʊP\v blocks=Basic Latin,IPA Extensions
7    0x000010ab 0x004010ab 5   7    .text   utf8    \a\vʊP\a blocks=Basic Latin,IPA Extensions
8    0x00001100 0x00401100 4   6    .text   utf8    \a\vʊP blocks=Basic Latin,IPA Extensions
9    0x0000119f 0x0040119f 4   5    .text   ascii   I\fSW
10   0x000011d7 0x004011d7 6   7    .text   ascii   1N\b1V\f
11   0x0000120d 0x0040120d 4   5    .text   ascii   \a\e[U
12   0x000012aa 0x004012aa 4   5    .text   ascii   t\fPj
13   0x000012c9 0x004012c9 6   7    .text   ascii   1W\b1O\f
14   0x000012f3 0x004012f3 4   5    .text   ascii   W\f^[
15   0x00001340 0x00401340 4   6    .text   utf8    +ʍr\f blocks=Basic Latin,IPA Extensions
16   0x0000136d 0x0040136d 4   5    .text   ascii   W\b1V
17   0x000013fa 0x004013fa 4   5    .text   ascii   \f;G;
18   0x0000140d 0x0040140d 4   5    .text   ascii   "O]U
19   0x00001517 0x00401517 5   6    .text   ascii   U\fQRP
20   0x00001548 0x00401548 5   6    .text   ascii   E\bPQV
21   0x00001555 0x00401555 5   6    .text   ascii   U\fSRV
22   0x000015ee 0x004015ee 6   7    .text   ascii   ]\bWPQS
23   0x0000163f 0x0040163f 6   7    .text   ascii   M RVWS
24   0x00001654 0x00401654 4   5    .text   ascii   M$VP
25   0x00001680 0x00401680 4   5    .text   ascii   8^_3
26   0x00001701 0x00401701 5   7    .text   utf8    P00`ǅ blocks=Basic Latin,Latin Extended-B
27   0x0000171f 0x0040171f 6   8    .text   utf8    }++Vǅ  blocks=Basic Latin,Latin Extended-B
28   0x0000173d 0x0040173d 4   8    .text   utf8    櫫Mǅ, blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
29   0x000017a1 0x004017a1 4   8    .text   utf8    쭭AǅT blocks=Hangul Syllables,Basic Latin,Latin Extended-B
30   0x0000180f 0x0040180f 5   7    .text   utf8    j&&Lǅ blocks=Basic Latin,Latin Extended-B
31   0x00001819 0x00401819 5   7    .text   utf8    Z66lǅ blocks=Basic Latin,Latin Extended-B
32   0x00001823 0x00401823 5   7    .text   utf8    A??~ǅ blocks=Basic Latin,Latin Extended-B
33   0x00001841 0x00401841 5   7    .text   utf8    \44hǅ blocks=Basic Latin,Latin Extended-B
34   0x0000187d 0x0040187d 5   7    .text   utf8    S11bǅ blocks=Basic Latin,Latin Extended-B
35   0x000018a5 0x004018a5 5   7    .text   utf8    e##Fǅ blocks=Basic Latin,Latin Extended-B
36   0x00001913 0x00401913 5   7    .text   utf8    i''Nǅ blocks=Basic Latin,Latin Extended-B
37   0x00001945 0x00401945 5   7    .text   utf8    t,,Xǅ blocks=Basic Latin,Latin Extended-B
38   0x00001959 0x00401959 5   7    .text   utf8    -\e\e6ǅ blocks=Basic Latin,Latin Extended-B
39   0x0000198b 0x0040198b 5   7    .text   utf8    M;;vǅ blocks=Basic Latin,Latin Extended-B
40   0x000019a9 0x004019a9 6   8    .text   utf8    {))Rǅ$ blocks=Basic Latin,Latin Extended-B
41   0x000019bd 0x004019bd 6   8    .text   utf8    q//^ǅ, blocks=Basic Latin,Latin Extended-B
42   0x000019f9 0x004019f9 6   8    .text   utf8    `  @ǅD blocks=Basic Latin,Latin Extended-B
43   0x00001a3f 0x00401a3f 6   8    .text   utf8    K99rǅ` blocks=Basic Latin,Latin Extended-B
44   0x00001a85 0x00401a85 4   8    .text   utf8    媪Oǅ| blocks=CJK Unified Ideographs,Basic Latin,Latin Extended-B
45   0x00001aad 0x00401aad 5   7    .text   utf8    U33fǅ blocks=Basic Latin,Latin Extended-B
46   0x00001af3 0x00401af3 5   7    .text   utf8    D<<xǅ blocks=Basic Latin,Latin Extended-B
47   0x00001b4d 0x00401b4d 5   7    .text   utf8    H88pǅ blocks=Basic Latin,Latin Extended-B
48   0x00001b7f 0x00401b7f 5   7    .text   utf8    c!!Bǅ blocks=Basic Latin,Latin Extended-B
